"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_gene_id","hgnc_symbol","uniprotswissprot"
"1",1.25790235149594,12.0767408927573,17.5439717466908,3.26837788209309e-66,6.35677651529347e-66,138.860863943134,"ENSG00000131095","GFAP","P14136"
"2",1.02173226836724,11.2162341554127,26.4956899680509,1.3277986623954e-141,4.1717868010966e-141,312.046718052833,"ENSG00000120885","CLU","P10909"
"3",1.09315950139165,10.510858545195,46.480876361838,0,0,839.094689034256,"ENSG00000075624","ACTB","P60709"
"4",1.17831286620716,10.2817610083587,45.1881805767626,0,0,801.521577574569,"ENSG00000196205",NA,NA
"5",1.06359870274732,9.80441066861011,18.4521391032786,9.46586570048609e-73,1.92352035753328e-72,153.729609282703,"ENSG00000152583","SPARCL1","Q14515"
"6",1.1341015588503,9.68068281436835,43.2256244190328,0,0,745.047577553589,"ENSG00000184009","ACTG1","P63261"
"7",1.17325634642633,9.38625008514877,35.6909124302983,1.72464393728714e-239,9.51026651906632e-239,537.131483198619,"ENSG00000167552","TUBA1A","Q71U36"
"8",1.24679589902611,9.3396735462308,22.5450912671951,1.82688811826092e-105,4.59569893143239e-105,228.868032820739,"ENSG00000130203","APOE","P02649"
"9",2.49277453500685,9.20023486434925,41.3311831446819,1.70926101962719e-306,1.38832340671426e-305,691.355187937571,"ENSG00000113140","SPARC","P09486"
"10",1.44275004872554,8.94436213293036,53.3491242607954,0,0,1042.3811108101,"ENSG00000233476",NA,NA
"11",1.39806032088913,8.80903769404945,49.2406242150238,0,0,920.087881124913,"ENSG00000240184","PCDHGC3","Q9UN70"
"12",1.2671567671489,8.61979425178268,46.3125086688962,0,0,834.110956136005,"ENSG00000240764","PCDHGC5","Q9Y5F6"
"13",1.27176743567529,8.61857680925423,47.0565588629078,0,0,855.838108061635,"ENSG00000242419","PCDHGC4","Q9Y5F7"
"14",1.30425726820623,8.6184069465451,47.5335872717047,0,0,869.813228039798,"ENSG00000254122","PCDHGB7","Q9Y5F8"
"15",1.27129737791507,8.60761703034429,45.9435174793404,0,0,823.368611354875,"ENSG00000253159","PCDHGA12","O60330"
"16",1.29720281407425,8.60505609651495,47.2265871351456,0,0,860.815272157809,"ENSG00000253910","PCDHGB2","Q9Y5G2"
"17",1.27847016707078,8.60432270199302,46.652601405749,0,0,844.030930436383,"ENSG00000261934","PCDHGA9","Q9Y5G4"
"18",1.27009479491125,8.60278728655485,46.1098127288849,0,0,828.206718383508,"ENSG00000254245","PCDHGA3","Q9Y5H0"
"19",1.28488098595655,8.60226796728254,46.7407645042471,0,0,846.605685620465,"ENSG00000253305","PCDHGB6","Q9Y5F9"
"20",1.29526801994146,8.60186870698148,46.9825648020588,0,0,853.673533961242,"ENSG00000253846","PCDHGA10","Q9Y5H3"
"21",1.28068101902371,8.60134416834202,46.6803991451373,0,0,844.842522667748,"ENSG00000276547","PCDHGB5","Q9Y5G0"
"22",1.27050624638697,8.60127348180499,46.3212353377924,0,0,834.3645960794,"ENSG00000081853","PCDHGA2","Q9Y5H1"
"23",1.271168268613,8.59941467418963,46.4946406151952,0,0,839.420593616601,"ENSG00000253731","PCDHGA6","Q9Y5G7"
"24",1.28486751061485,8.59840626815422,46.73000365261,0,0,846.291205292896,"ENSG00000254221","PCDHGB1","Q9Y5G3"
"25",1.27405903324527,8.59708686715356,46.405242416412,0,0,836.813350087457,"ENSG00000262576","PCDHGA4","Q9Y5G9"
"26",1.27651768765856,8.59586584788224,46.3788174514133,0,0,836.042952144689,"ENSG00000253873","PCDHGA11","Q9Y5H2"
"27",1.27444655072264,8.59564470911199,46.4034070670897,0,0,836.759785645759,"ENSG00000253485","PCDHGA5","Q9Y5G8"
"28",1.28035843425252,8.59522457642397,46.5995651095266,0,0,842.482350593653,"ENSG00000204956","PCDHGA1","Q9Y5H4"
